"","Object","velocity","orbits","size"
"232","(2001 SY169)",7.4586,2,170
"233","(2001 SY269)",10.1091,10,300
"234","(2001 SZ269)",9.7805,10,710
"235","(2001 TA2)",12.80424,10,240
"236","(2001 TC)",8.0786,2,430
"237","(2001 TC45)",10.4625,6,860
"238","(2001 TD)",4.8391,26,57
"239","(2001 TO48)",8.56649230769231,13,680
"240","(2001 TY44)",2.76313333333333,3,520
"241","(2001 UG18)",3.8316,1,430
"242","(2001 UP)",5.03141481481481,27,43
"243","(2001 UQ163)",3.88946666666667,3,390
"244","(2001 UX4)",15.11312,10,900
"245","(2001 VC2)",4.99886923076923,26,360
"246","(2001 VC76)",7.6291,2,680
"247","(2001 VE2)",3.40194,20,59
"248","(2001 VF2)",3.73705,4,540
"249","(2001 VH5)",9.054325,8,380
"250","(2001 VJ5)",7.86329090909091,11,240
"251","(2001 VJ75)",7.9236,1,620
"252","(2001 WF49)",7.175384,25,220
"253","(2001 WK15)",8.09892222222222,18,360
"254","(2001 WO15)",7.2478,1,180
"255","(2001 WP15)",7.06552,5,310
"256","(2001 XG105)",8.29095,4,310
"257","(2001 XK105)",5.29066666666667,3,100
"258","(2001 XP31)",8.9373,18,220
"259","(2001 XW10)",15.1288857142857,7,780
"260","(2001 XX4)",11.3486571428571,21,230
"261","(2001 YB1)",8.6614,1,270
"262","(2001 YE1)",6.8076,2,410
"263","(2001 YM2)",6.9719,2,750
"264","(2001 YP3)",6.87456,5,240
"265","(2001 YU3)",4.58622857142857,7,570
"266","(2001 YV3)",13.8229,8,540
"267","(2001 YX11)",3.1806,3,590
"268","(2002 AA29)",4.04310857142857,35,90
"269","(2002 AB2)",8.03608571428571,7,130
"270","(2002 AC9)",10.1039333333333,9,380
"271","(2002 AD2)",10.94176,5,450
"272","(2002 AK14)",6.40279166666667,24,300
"273","(2002 AL31)",4.63016,5,75
"274","(2002 AO11)",5.38591304347826,23,170
"275","(2002 AQ2)",6.22604,5,1100
"276","(2002 AT4)",3.55012,5,340
"277","(2002 AU5)",15.6346285714286,7,1800
"278","(2002 AV)",5.9179,2,390
"279","(2002 AY1)",11.270419047619,21,410
"280","(2002 AY3)",7.32065,4,430
"281","(2002 BA1)",3.02766666666667,3,300
"282","(2002 BF25)",4.75457333333333,30,220
"283","(2002 BG)",7.62476,5,470
"284","(2002 BG25)",16.2657,8,390
"285","(2002 BJ2)",13.25188,5,2200
"286","(2002 BM26)",7.0463,6,570
"287","(2002 CB19)",9.91008,10,59
"288","(2002 CC14)",7.75,8,65
"289","(2002 CD14)",10.666325,8,450
"290","(2002 CN15)",14.0151,2,410
"291","(2002 CR11)",9.47825,4,540
"292","(2002 CT46)",6.8572,1,410
"293","(2002 CV46)",11.8750666666667,3,330
"294","(2002 CW11)",5.38532,5,36
"295","(2002 CX58)",4.836,1,210
"296","(2002 CY9)",15.9003428571429,7,860
"297","(2002 DH2)",9.7836,3,520
"298","(2002 DQ3)",3.41413333333333,9,100
"299","(2002 EC3)",9.52452857142857,14,330
"300","(2002 EM7)",6.169,11,78
"301","(2002 EN7)",10.2207,10,340
"302","(2002 ES11)",4.0951,2,250
"303","(2002 EV)",7.2788,1,140
"304","(2002 EV11)",20.06444,5,590
"305","(2002 EW)",16.3436769230769,13,430
"306","(2002 EW8)",5.94476666666667,6,120
"307","(2002 EX8)",12.2419,4,410
"308","(2002 EY)",11.687,2,620
"309","(2002 EY2)",9.52836666666667,6,820
"310","(2002 FC)",6.7952,4,990
"311","(2002 FQ5)",9.89069090909091,11,470
"312","(2002 FT5)",9.51824,10,250
"313","(2002 FT6)",9.04416842105263,19,190
"314","(2002 FU5)",8.99,1,380
"315","(2002 FW1)",6.5844,7,94
"316","(2002 GA)",7.41726666666667,3,570
"317","(2002 GD10)",6.2868,1,180
"318","(2002 GN5)",2.35186666666667,3,220
"319","(2002 GQ)",8.308,1,33
"320","(2002 GQ5)",8.80689333333333,15,430
"321","(2002 GR)",4.309,5,140
"322","(2002 GZ8)",6.6712,6,1400
"323","(2002 HE8)",7.84388571428571,7,470
"324","(2002 HP11)",17.6018,1,490
"325","(2002 JC9)",16.6904,1,1200
"326","(2002 JD9)",8.70545263157895,19,140
"327","(2002 JE9)",7.10233846153846,26,340
"328","(2002 JQ9)",10.7661368421053,19,860
"329","(2002 JQ97)",4.4392,2,160
"330","(2002 JR100)",5.12153513513513,37,82
"331","(2002 JS2)",17.2174,2,1700
"332","(2002 JW15)",5.45193793103448,29,540
"333","(2002 JX8)",4.88726923076923,26,590
